"Order","Family","Genus","Best_guess_binomial","Adult_svl_cm","Body_mass_g","Maturity_d","Max_longevity_d","Longevity_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis rugosus",NA,73.8,288,5661.375,3396.825,19.5,NA,NA,11,TRUE,1,1,0,1,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis wellsi",NA,52.269809449956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura armata",NA,68.19956245,NA,1296.6375,NA,14.5,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura bintangensis",NA,99.3058024210467,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura brachypoda",NA,54.4251326421211,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura capra",NA,90.7910265089093,NA,NA,NA,19.4992229987902,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura cardamomensis",NA,116.172430692017,NA,NA,NA,20.5010890060099,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura coronata",NA,89.7714397250374,NA,NA,NA,NA,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura crucigera",NA,95.786040995,NA,2301.075,NA,13.9990962656834,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura lepidogaster",NA,46.219051069963,NA,NA,NA,13.249351186943,"Carnivore","Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura nataliae",NA,138.328318948589,NA,NA,NA,12.999351186943,"Omnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura phuketensis",NA,NA,NA,NA,NA,NA,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthosaura","Acanthosaura titiwangsaensis",NA,117.966031782586,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","XENODERMATIDAE","Achalinus","Achalinus ater",NA,64.6244307472033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","XENODERMATIDAE","Achalinus","Achalinus formosanus",NA,27.1821963441954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","XENODERMATIDAE","Achalinus","Achalinus hainanus",NA,11.9699405223214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","XENODERMATIDAE","Achalinus","Achalinus jinggangensis",NA,28.6708898495329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
